Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
516,1993,Larghetto (Interludium),Orgelsatz,Orgel,Kopie,
517,1988,Jauchzt alle Lande,Orgelsatz,Orgel,Original,
518,,"EG 1287, Psalm 23",Orgelsatz,Orgel,Kopie,
519,,"EG 689, Danke für diesen Morgen",Orgelsatz,Orgel,Kopie,
520,,"EG 756, Du Kind zu dieser Zeit",Orgelsatz,Orgel,Kopie,
521,1991,Zu welchem Ziel reisst uns…,Chorsatz,gem. Chor,Original,
522,1991,Zu welchem Ziel reisst uns…,Chorsatz,Frauen,Kopie,
523,1991,Der Tag ist seiner Höhe nah,Chorsatz,gem. Chor,Original,
524,1991,"Psalm 117, Lobet den Herren",Chorsatz,gem. Chor,Kopie,
525,,Sayuni et. alt.,Chorsatz,gem. Chor,Original,
526,,"Dir, dir, Jehova will ich singen",Orgelsatz,Orgel,Kopie,j. S. Bach
527,,Ich halte treulich still,Orgelsatz,Orgel,Kopie,j. S. Bach
528,1989,Improperion 89,Chorsatz,"Chor, Gemeinde",Original,Bleistift-Manuskript
529,1964,"Vorspiel zu ""Liebster Jesu""",Orgelsatz,Orgel,Original,
530,1964,"Lobet den Herren, o meine Seele",Orgelsatz,Orgel,Original,
531,1968,"Lobe den Herren , alle, die ihn ehren",Orgelsatz,Orgel,Original,
532,1983,Intonation - Soll ich meinem Gott nicht singen,Orgelsatz,Orgel,Kopie,
533,,Es kommt ein Schiff geladen,Orgelsatz,Orgel,Original,Bleistift-Manuskript
534,,Nun kommt der Heiden Heiland,Orgelsatz,Orgel,Original,Bleistift- Manuskript
534a,,Macht hoch die Tür,Orgelsatz,Orgel,Original,Bleistift-Manuskript
535,1988,"Psalm 103, 2",Chorsatz,gem. Chor,Kopie,
536,1993,"Fürwahr, er trug unsere Krankheit…",Chorsatz,gem. Chor,Original,geschrieben am 8.2.93
537,1997,Psalm 126,Tonsatz,"Singstimme, Orgel ",Original,"Umarbeitung des Psalms 126 der ""Windsbacher Psalmen"" für Männerchor in Form eines Solo-Psalms für Singstimme und Orgel et. alt."
538,1990,"Motette z. Psalm 106, 1",Chorsatz,gem. Chor,Kopie,
539,,Psalm 81,?,?,Original,Bleistift-Manuskript
540,1971,Psalm 130,Tonsatz,"gem. Chor, Orgel",Original,"Zum Gedenken an Friedhelm Alhaus, tödlich verunglückt im Mai 1971"
541,,"Psalm 148, 1 - 14 (transponiert)",Tonsatz,"Gemeinde, Orgel",Original,
542,1993,Crucem Tuam,Chorsatz,gem. Chor,Original,
544,1991,Nun gehören unsere Herzen,Chorsatz,gem. Chor,Original,Für den Kirchenchor Wassermungenau geschrieben
545,1991,Erstanden ist der heilge Christ,Chorsatz,gem. Chor,Original,Für den Kirchenchor Wassermungenau geschrieben
546,1995,"EG 67 Herr Christ, der einig… Str. 1, 3, 5",Chorsatz,gem. Chor,Kopie,für Dieter Röhrs und seinen wackeren Chor!
547,1971,Intrada con danza,Bläsersatz,Bläser,Kopie,
548,1993,Tauflied,Notensatz,ad. lib.,Kopie,Zu Simon Peter Stiers Tauftag am 12.04.93
549,1976,Wir sagen euch an den lieben Advent,Notensatz,"Orgel, Piano",Kopie,
550,1976,Maria durch ein Dornwald ging,Notensatz,"Orgel, Piano",Kopie,
550a,1986,Ein wunderbarer Traum,Chorsatz,gem. Chor,Kopie,
551,1990,Christ ist geboren,Chorsatz,Frauen - gleiche Stimmen,Kopie,
552,,"Guter Mond, du gehst so stille",Notensatz,ad. lib.,Original,
553,1993,"Nehmt Abschied, Brüder",Notensatz,ad. lib.,Kopie,
554,1977,Tanzlied,Notensatz,Gitarre,Original,
554a,1977,Rigaudon,Notensatz,Gitarre,Original,
555,1977,Tanzlied,Notensatz,einstimmig - Gitarre?,Original,
555a,1977,Gavotte in G-Dur,Notensatz,einstimmig - Gitarre?,Original,
556,1977,Die Eigensinnigen,Notensatz,drei Flöten,Original,
557,,Morgen kommt der Weihnachtsmann,Notensatz,ad. lib.,Original,
557a,,"Komm, wir gehen nach Bethlehim",Notensatz,ad. lib.,Original,
558,,Mühe und Arbeit gewesen…,Chorsatz,gem. Chor,Kopie,
559,,"Psalm 73, 23 -26",Chorsatz,gem. Chor,Original,Bleistift-Manuskript
560,,"Trompete, Chor und Orgel ""Herr des Himmels""",Notensatz,"Trompete, Orgel, gem. Chor",Kopie,
561,1999,Psalm 24,Chorsatz,gem. Chor,Kopie,"aus ""Gott ist mein Lied"" - Strube-Verlag"
562,,EG 399 O Lebensbrünnleit tief und groß,Chorsatz,gem. Chor,Kopie,
563,1984,1429 Tritt hin ans Kreuz von Golgatha,Chorsatz,gem. Chor,Druck,Verlag Vandenhoeck & Ruprecht
564,1998,Psalm 46 (Hallmann-Psalm),Chorsatz,gem. Chor,Kopie,mit herzlichem Dank Frank Hallmann zugedacht
565,1989,"Hör, Hör, hör, so singen Engelschör",Chorsatz,gem. Chor,Kopie,vereinfachter Satz v. 1996
566,1988,Wenn mein Stündlein vorhanden ist…,Notensatz,gem. Chor und Bläser,Original,"Bläser-Einleitung aus der Kantate für Chor und Bläser. Dem Gastenfeldener Krichchor und seiner rührigen Leiterin, Frau Lore Lippert, in treuem Gedenken gewidmet. Windsbach, den 1. Okt. 1988"
567,2001,Von Engeln  ward verheißen,Chorsatz,gem. Chor,Kopie,
568,1993,Präludium d-moll,Orgelsatz,Orgel,Kopie,
569,1968,Prädludium in G-Dujr,Orgelsatz,Orgel,Kopie,
570,,Präludium d-moll,Orgelsatz,Orgel,Kopie,
571,1989,Wie soll ich dich empfangen,Orgelsatz,Orgel,Kopie,
572,1984,Wochenspruch zu Ostern,Notensatz,Orgel und Chor,Kopie,"Darauf folgt das Gemeinde-Lied ""Christ lag in Todesbanden"""
573,1994,Bei Dir Jesus II,Orgelsatz,Orgel,Kopie,Meiner verehrten Kolligin Frau Helga Maria Maltry zugeeignet
573a,1994,"Liebster Jesu, wir sind hier…",Orgelsatz,Orgel,Kopie,
574,1987,Selig sind die Toten,Tonsatz,"Gemeine, Orgel",Kopie,
575,1993,Arbeit und ihre Werke…,Chorsatz,gem. Chor,Kopie,
576,1994,Psalm 19,Chorsatz,Frauen,Kopie,Für Frauenchor bearbeitet
577,1991,"Geh aus, mein Herz..",Orgel- und Liedsatz,Orgel,Kopie,"Für Sie, liebe Frau Maltry, am 27.08.1991 verfasst in der Hoffnung, dass es nicht zu kompliziert ist. Ihr Emanuel Vogt"
578,1998,Präludium,Bläsersatz,Bläser,Kopie,Zum 40-jährigen Bestehen des Pos. Chors Immeldorf
579,1987,"Jerusalem, du hochgebaute Stadt",Bläsersatz,Bläser,Kopie,Choralfantasie für Bläser - Dem Dekanats-Bläserkreis in Dankbarkeit und Freude gewidmet
580,2003,EG 19 Vom Himmel kam…,Chorsatz,gem. Chor,Kopie,Meiner lieben Brigitte als kleinen Dank für Deine treue Singhilfe im Wassermungenauer Kirgenchor
581,1986,Kleines geistliches Konzert für Einzelstimmen (Chor) und Orgel,Notensatz,gem. Chor und Orgel,Kopie,In herzlichen Gedenken an die Zeit in Bad Tölz im Juli 1986
582,1970,"Intermezzo ""Flohsprung""",Orgelsatz,Orgel,Kopie,
583,1989,Der farbige Strand von Grönsenvatn,Bläsersatz,Bläser,Kopie,
584,1995,Es lagen im Felde die Hirten bei Nacht,Chorsatz,Frauen,Kopie,
585,1997,"Jul, jul, jul…",Chorsatz,Frauen und Männerstimmen,Kopie,
586,2001,"Psalm 73, 23 - 26",Chorsatz,gem. Chor,Kopie,für Stefan Fritsch zur Konfirmation
587,,"Psalm 36, 6 und 10",Chorsatz,gem. Chor,Kopie,
588,1989,Gott sei Dank,Chorsatz,gem. Chor,Kopie,
589,1997,"Bewahre uns, Gott",Chorsatz,gem. Chor,Original,
590,1990,"Psalm 106, 1 - Danket dem Herren - Motette zu drei Stimmen",Chorsatz,Frauen,Kopie,
591,1975,Exludium,Orgelsatz,Orgel,Kopie,
592,,Gott in der Höh sei Ehr,Orgelsatz,Orgel,Kopie,
593,,"Choralsatz ""Wach auf, wach auf""",Orgelsatz,Orgel,Kopie,
594,1975,Lieb Nachtigall…,Chorsatz,gem. Chor,Kopie,
595,,Nunc Dimittis,Chorsatz,gem. Chor,Druck,
596,1972,Freue dich sehr,Chorsatz,Männer,Kopie,Motette für Männerchor - Windsbacher Knabenchor-Signatur
597,1986,Präludium zur Weihnacht,Orgelsatz,Orgel,Kopie,
598,1978,Kyrie für Unisono und Orgel,Notensatz,Chor und Orgel,Kopie,
599,,Notenheft Bicinien (Choralbearbeitungen),,,,
600,1958,Wie groß ist des Allmächtgen Güte,Notensatz,"Orgel, Klavier",Original,aus Notenheft Bicinien (Choralbearbeitungen)
601,1958,Bicinium - Ach was soll ich,Notensatz,"Orgel, Klavier",Original,aus Notenheft Bicinien (Choralbearbeitungen)
602,1958,Bicinium - Straf mich nicht,Notensatz,"Orgel, Klavier",Original,aus Notenheft Bicinien (Choralbearbeitungen)
603,1958,Erhalt uns Herr - Trio,Notensatz,?,Original,aus Notenheft Bicinien (Choralbearbeitungen)
604,1958,"Jesus, meine Zuversicht und Verleih uns Frieden",Notensatz,"Orgel, Klavier",Original,aus Notenheft Bicinien (Choralbearbeitungen)
605,1967,"Orgel-Motette, dreistimmig, Nun bitten wir",Orgelsatz,Orgel,Original,aus Notenheft Bicinien (Choralbearbeitungen)
605a,1967,Hallelujavers-Kantate 1967,Chorsatz?,gem. Chor,Original,aus Notenheft Bicinien (Choralbearbeitungen)
606,,Psalm 118,Notensatz,"Instr. ad. lib., Singstimmen",Original,aus Notenheft Bicinien (Choralbearbeitungen)
607,1967,"Psalm 33, 1 - 11 (Fragment)",Notensatz,?,Original,aus Notenheft Bicinien (Choralbearbeitungen)
608,1976,Geistliches Konzertfür Sopran und Tenor mit Orgel,Notensatz,"Sopran, Tenor, Orgel",Kopie,
609,1983,Benedictus,Chorsatz,gem. Chor,Original,
610,1997,"Trompete und Orgel, O Heiland reiß den Himmel auf",Notensatz,"Trompete, Orgel",Kopie,
611,1997,Lass Dir an meiner Gnade genügen,Chorsatz,gem. Chor,Kopie,
612,1972,Freue dich sehr der Tochter Zion…,Chorsatz,Männer,Kopie,
613,1989,Lukas 1: Lobgesang der Maria (Magnificat,Chorsatz,gem. Chor,Kopie,
614,1973,Wunderbarer König,Chorsatz,gem. Chor,Kopie,
615,1970,Intermezzo,Orgelatz,Orgel,Kopie,
616,1985,Jubiläums-Intrade 1985,Bläsersatz,Bläser,Original,"Bleistift-Manuskript, nicht scanbar"
617,1985,"Fantasia G-Dur, Der Herr ist mein getreuer Hort",Notensatz,Blockflöten,Original,"Bleistift-Manuskript, nicht scanbar"
618,1987,Jesus Christus kennt dich,Bläsersatz,Bläser,Original,"Bleistift-Manuskript - für kleines Bläser-Ensemble, nicht scanbar"
618a,1987,Psalm 71 ,Chorsatz,gem. Chor,Original,"Bleistift-Manuskript - Rekonstruktion Männer-Chorsatz für gem. Chor, nicht scanbar"
619,1997,Strophe 7 - Mit Jubelklang und Instrumenten,Notensatz,Bläser und Orgel,Original,"Bleistift-Manuskript, nicht scanbar"
620,,Jubil.-Intrade für Lichtenau,Bläsersatz,Bläser,Original,"Bleistift-Manuskript, nicht scanbar"
621,1994,Fest-Musik 1995 - Veitsaurach,Notensatz,"Orgel, Klavier, Bläser, ?",Original,"Bleistift-Manuskript, nicht scanbar"
622,,Leben im Schatten,Notensatz,Klavier?,Original,"Bleistift-Manuskript, nicht scanbar"
623,1988,Introduktionen zu den norwegischen Miniaturen,Bläsersatz,Bläser,Original,
624,1989,Der farbige Strand von Grönsenvatn,Bläsersatz,Bläser,Kopie,
625,1990,Moosbacher Heimatlied,Chorsatz,gem. Chor,Original,
626,1981,"Mai, Juni, Juli",Chorsatz,gem. Chor,Original,
627,1976,Chorpartitur (Männer) - Geh aus mein Herz..,Notensatz,"Männer, Bläser",Kopie,
628,1976,Chorpartitur (Frauen) - Geh aus mein Herz..,Notensatz,"Frauen, Orgel-Portativ oder Blockflöte",Kopie,
629,1983,Andante a moll,Orgelsatz,Orgel,Druck,
630,1991,Konvent-Präludium mit Fugato 8/91,Orgelsatz,Orgel,Original,
631,1983,Präludium d-moll,Orgelsatz,Orgel,Kopie,
632,1961,Präludium e-moll,Orgelatz,Orgel,Kopie,
633,1989,Aria,Orgelsatz,Orgel,Kopie,
634,1990,Präludium F-Dur und Larghetto,Orgelsatz,Orgel,Kopie,
635,1987,"Präludium B-Dur, Largo g-moll",Orgelsatz,Orgel,Kopie,möglichst nacheinander kommend…
635a,1987,Präludium und Fugato D-Dur,Orgelsatz,Orgel,Kopie,
636,1990,Präludium D-Dur,Orgelsatz,Orgel,Kopie,
637,1991,Konvent-Präludium d-moll ,Orgelsatz,Orgel,Kopie,(Scheinfeld)
638,1987,Präludium in B-Dur,Orgelsatz,Orgel,Original,
639,1990,Präludium in D-Dur,Orgelsatz,Orgel,Kopie,
640,1991,Fugato d-moll (Konvent-Präludium),Orgelsatz,Orgel,Kopie,"Meinen verehrten Kolleginnen und Kollegen, die teilnahmen am Konvent, genannt ""Musikalische Rüstzeit für Organisten im Nebenamt"" in Scheinfeld am 23. und 24.081991. In der Freude am gleichen Dienst, Emanuel Vogt"
641,1964,"Präludium, Aria und Fughetta e-moll",Orgelsatz,Orgel,Kopie und Druck,
642,1987,Präludium in D-Dur,Orgelsatz,Orgel,Original,
643,,Aria,Orgelsatz,Orgel,Original,
644,1983,Präludium in d-moll,Orgelsatz,Orgel,Kopie,
644a,1983,Andante,Orgelsatz,Orgel,Kopie,
645,1987,Präludium D-Dur,Orgelsatz,Orgel,Kopie,
645a,1987,Präludium und Fugato in D-Dur,Orgelsatz,Orgel,Kopie,
646,1990,Präludium in F-Dur,Orgelsatz,Orgel,Original,
646a,1991,"""Konvent-Präludium"" d-moll",Orgelsatz,Orgel,,
647,1987,Präludium in B-Dur,Orgelsatz,Orgel,Kopie,
647a,1964,"Präludium, Aria und Fughetta e-moll",Orgelsatz,Orgel,Kopie,Reihenfolge der Seiten nicht korrekt zugeordnet (von mir)
648,1987,Präludium und Fugata in D-Dur,Orgelsatz,Orgel,Kopie,
649,1990,Präludium in F-Dur und Larghetto in d-moll,Orgelsatz,Orgel,Original,
650,1989,Vorspiel (Nachspiel),Orgelsatz,Orgel,Original,
651,1989,Andante,Orgelsatz,Orgel,Original,
652,1969,Präludium post festum,Notensatz,"Flauto dolce, Cembalo",Kopie,Meiner lieben Frau gewidmet zum 23. Januar 1969
653,,Halleluja Amen,Notensatz,?,Original,Bleistift-Manuskript
654,1997,O du fröhliche,Chorsatz,gem. Chor,Original,
655,,ohne Inhalt,,,,
656,1985,Missa für Männerchor und Orgel,Notensatz,"Männer, Orgel",,
657,1988,Credo,Notensatz,Chor und Einzelstimme,Original,"für ""Returi-Verlag"""
658,1994,I. Kyrie,Chorsatz,Chor,Original,
659,1994,II. Gloria,Chorsatz,Chor,Original,
660,1994,III. Sanctus,Chorsatz,Chor,Original,
661,1994,IV. Agnus die,Chorsatz,Chor,Original,
662,,in d-moll,Orgelsatz,Orgel,Kopie,
663,1990,"Psalm 106, 1 - Danket dem Herren - Motette zu drei Stimmen",Chorsatz,3-stimmigen Chor,Original,
664,1965,"Hör, hör, hör",Chorsatz,gem. Chor,Kopie,
665,1973,Machs mit Gott,Notensatz,?,Kopie,
665a,1973,Gottes Sohn ist kommen ,Notensatz,?,Kopie,
665b,1973,"Nun lasst uns Gott, den Herren…",Notensatz,?,Kopie,
666,,Kommt her zu mir alle,Chorsatz,gem. Chor,Kopie,"Nur Seite 1, folgende Seite/n fehlen"
667,1991,Sei willkommen Jesulein,Chorsatz,Männer,Kopie,
668,1979,"Choraleinleitung ""Du meine Seele singe""",Orgelsatz,Orgel,Kopie,
669,1979,Schreitmusik II 1979 zum Volkstrauertag,Bläsersatz?,Bläser?,Kopie,
670,2005,"Zur stillen Nacht, da keiner wacht…",Chorsatz,gem. Chor,Kopie,
671,1997,"Jul, jul, jul…",Chorsatz,gem. Chor,Kopie,
672,1995,Es lagen im Felde die Hirten…,Chorsatz,gem. Chor,Kopie,
673,1993,"Orgel-Variationen über ""Maria durch ein Dornwald ging""",Orgelsatz,Orgel,Kopie,
674,1996,Zeit zum Leben,Chorsatz,gem. Chor,Kopie,
675,1996,Schaut nur an den schönen Morgen,Chorsatz,gem. Chor,Kopie,
676,1997,Der Frühling ist da!,Chorsatz,gem. Chor,Kopie,
677,1996,Wer hat die Blumen all erdacht,Chorsatz,gem. Chor,Kopie,
678,1996,Ein Schäfermädchen weidete…,Chorsatz,gem. Chor,Kopie,
679,,Die Seligpreisungen,Chorsatz,Chor,Kopie,
680,1996,"Die Rosen blühten, als ich schied",Chorsatz,Chor,Kopie,
681,1996,Suchen und fragen,Chorsatz,Chor,Kopie,
682,1974,Tastenspiel a-moll,Orgelsatz,Orgel,Original,
683,1993,"O Jesu Christe, mein getreuer Hirte",Notensatz,"Orgel, Piano",Kopie,
684,1992,"Herbei, o ihr Gläubigen",Orgelsatz,Orgel,Original,
685,1997,Die beste Zeit im Jahr…,Chorsatz,gem. Chor,Kopie,
686,1996,"Gebet (Lieber Gott, wir danken dir)",Chorsatz,gem. Chor,Kopie,
687,1976,Präludium in B-Dur,Orgelsatz,Orgel,Original,
688,1992,Müde bin ich… I,Orgelsatz,Orgel,Kopie,
689,,Im Frieden dein…,Orgelsatz,Orgel,Original,
690,1998,Psalm 127,Chorsatz,Knabenchor,Original,"Bleistift-Manuskript, 1996 an den Knabenchor ausgeliefert"
691,1995,Psalm 127 (Bibel),Chorsatz,Knabenchor,Original,"Bleistift-Manuskript, an den Knabenchor ausgeliefert"
692,,"Umsonst, die daran bauen",Chorsatz,Knabenchor,Original,"Bleistift-Manuskript, an den Knabenchor ausgeliefert"
693,,Es ist umsonst…,Chorsatz,Knabenchor,Original,"Bleistift-Manuskript, an den Knabenchor ausgeliefert"
694,1967/1996,Psalm 24,Fragment,Fragment,Original,am 30.10.96 für 3-st. Gem. Chor übertragen
695,1997,"Lamparter Psalm 117, Lobet den Herren",Fragment,Fragment,Original,Der Satz befindet sich im Kompendium des Wassermungenauer Kirchenchors
696,1997,"Psalm 42, Wie der Hirsch lechzt ","Chorsatz, Fragment",Knabenchor,Original,nach As-Dur transponiert für den Knabenchor auf Bitte von K. F. Beringer
697,,"Vergiss mich nicht, mein Fels, mein Hort","Chorsatz, Fragment",gem. Chor,Original,Bleistift-Manuskript
698,1997,Psalm 42 ,Chorsatz,Männer,Original,"Bleistift-Manuskript, zu K. F. B. am 20.10.97 gebracht"
699,,"Mit dem Rad, mit dem Rad…",Chorsatz,gem. Chor,Orignal,Bleistift-Manuskript
700,,Christ-Kindla,Fragment,Fragment,Original,Bleistift-Manuskript
701,,Ein wunderbarer Traum (Peter Stier),Fragment,Fragment,Original,"Bleistift-Manuskript, für 3-st. Chor"
702,,Kehrvers,Fragment,Fragment,Original,Bleistift-Manuskript
703,1998,Ein wunderbarer Traum,Chorsatz,Frauen,Original,"Bleistift-Manuskript, für Männer in F-Dur"
704,1980,"Norsk, Salmebuk",Fragment,Fragment,Original,Manuskript
704a,,Präludium in c-moll,Orgelsatz,Orgel,Kopie,
705,1991,Lustig ist das Zigeunerleben,Klaviersatz,Piano,Kopie,
706,1991,Jetzt kommen die lustigen Tage,Klaviersatz,Piano,Kopie,
707,,Eine große Freud verkünd ich euch,Chorsatz,gem. Chor,Druck,Saaleck-Verlag
708,,"Horch, wie die Schar der Engel singt",Chorsatz,gem. Chor,Druck,Saaleck-Verlag
709,,Pedal-Choräle: c.f. Linke Hand,Orgelsatz,Orgel,Kopie,
710,1996,"Herr, meine Seele + Vorübung",Orgelsatz,Orgel,Kopie,
711,1996,So nimm denn meine Hände…,Orgelsatz,Orgel,Kopie,
712,1996,"Lobe den Herren, den mächtigen König…",Orgelsatz,Orgel,Kopie,
712a,1996,Inhaltsverzeichnis - Intraden,,,Original,
713,1968,Einleitung 68,Intrade,Bläser,Kopie,Intrade
714,1968,"Vorspiel ""Komm, heilger Geist""",Intrade,Bläser,Kopie,Intrade
715,1968,Immeldorfer Intrade,Intrade,Bläser,Kopie,Intrade
716,1970,Intrada semper homo bonus tiro est,Intrade,Bläser,Kopie,"Intrade, Dem Seminar-Posaunenchor in bleibender Hoffnung auf strebendem Sich-Bemühen und seinen derzeitigen Dirigenten Walter Lupp als neuer Prüfstein altbewährter Geduld"
717,,Norwegische Intrade,Intrade,Bläser,Kopie,Intrade
718,,unbesetzt,,,,
719,1972,Windsbacher Turmintrade,Intrade,Bläser,Kopie,Intrade
720,1972,Schwabacher Turm-Musik I,Intrade,Bläser,Kopie,"Intrade, Herrn Kantor KMD Dr. Oskar Stollberg - Schwabach - in Dankbarkeit!"
721,1972,Festliche Intrade,Intrade,Bläser,Kopie,für den Pos. Chor Windsbach geschrieben
722,1972,Turm-Intrade,Intrade,Bläser,Kopie,Intrade
723,1972,Heilsbronner Bläser-Intrade,Intrade,Bläser,Kopie,Intrade
724,1973,Elpersdorfer Intrade,Intrade,Bläser,Kopie,Intrade
725,1973,Lichtenauer Jubiläums-Intrade,Intrade,Bläser,Kopie,Intrade
726,1970,Petersauracher Intrade 1970,Intrade,Bläser,Kopie,Intrade - für 4-stimmigen Bläserchor
727,1972,Windsbacher Turmintrade III,Intrade,Bläser,Kopie,Intrade
728,1973,Schreitmusik,Intrade,Bläser,Kopie,Intrade
729,1973,Weihnachtsfanfare,Intrade,Bläser,Kopie,Intrade
730,1971,Reuther Intrade,Intrade,Bläser,Kopie,Intrade
731,1972,Jugend-Intrade,Intrade,Bläser,Kopie,Intrade
732,1968,Nun kommt der Heiden Heiland - Intrade,Intrade,Bläser,Kopie,Intrade
733,1998,Tritt hin ans Kreuz,Chorsatz,gem. Chor,Kopie,
734,,Ich halte treulich still,Orgelsatz,Orgel,Original,J. S. Bach - Abschrift
735,,"Lobe den Herren, o meine Seele",Orgelsatz,Orgel,Kopie,
736,1988,Macht hoch die Tür,Orgelsatz,Orgel,Kopie,
737,1975,Wie soll ich dich empfangen,Chorsatz,gem. Chor,Kopie,
738,1975,Gottes Sohn ist kommen ,Chorsatz,gem. Chor,Kopie,
739,1973,Ihr lieben Christen freut euch nun,Chorsatz,gem. Chor,Kopie,
740,1985,Bayern-Hymne,Notensatz,Bläser,Kopie,
741,1992,Amazing Grace,Notensatz,Bläser,Kopie,
742,1972,Marsch der Bergleute,Notensatz,Bläser,Kopie,
743,,Zwiefacher,Notensatz,Bläser,Kopie,
744,,Aufzug der Stände,Notensatz,Bläser,Kopie,für den Pos. Chor Windsbach geschrieben
745,1996,Suchen und fragen,Chorsatz,gem. Chor,Kopie,
746,1965,Nun kommt der Heiden Heiland,Chorsatz,Männer,Kopie,Spirit-Carbon-Kopie - also sehr alt..
747,1990,Es tagt der Sonne Morgenstrahl,Chorsatz,Frauen,Original,
748,1988,Ach wie flüchtig ,Chorsatz,Frauen und gem.,Kopie,
749,1989,"Nixch, dass ich's schon ergriffen hab""",Chorsatz,Frauen,Kopie,
750,,Ein Christ kann nicht verschweigen,Chorsatz,Frauen oder Männer,Kopie,
751,1989,"Herr, wohin sollen wir gehen?"" - Motette für drei gleiche Stimmen",Chorsatz,Frauen oder Männer,Kopie,Dem Kirchenchor Wassermungenau zur Freude am Singen geschrieben
752,1989,"Kyrie, Sanctus, Agnus Die",Chorsatz,"gem. Chor, Gemeinde",Original,
753,1998,"Komm, Herr Jesu, segne uns",Chorsatz,Frauen,Kopie,
745,1992,O laufet ihr Hirten,Chorsatz,Frauen,Original,
755,1994,Mache der Furchtsamen Mut,Chorsatz,Frauen,Original,Weltgebetstag der Frauen
756,1994,Freuet euch der schönen Erde,Chorsatz,Frauen,Original,
757,1994,Psalm 19,Chorsatz,Frauen,Kopie,Für Frauenchor bearbeitet
758,,Das menschliche Leben eilt…,Chorsatz,Frauen,Original,
759,1989,Heut sein die lieben Engelein,Chorsatz,Frauen,Kopie,
760,,Psalm 130,Chorsatz,Frauen,Druck,
761,1993,Ich brach drei dürre Reiselein,Chorsatz,Frauen,Druck,
762,1993,Gelobet seist du…,Orgelsatz,Orgel,Kopie,Anlässlich des Orgeljubiläums in Oberampfach am 17.10.93 verfasst
763,1993,Seikilos Lied,Orgelsatz,Orgel,Kopie,Anlässlich des Orgeljubiläums in Oberampfach am 17.10.93 verfasst
763a,1989,Psalm 149,Chorsatz,Frauen,Original,Für den Kirchenchor St. Andreas - Wassermungenau geschrieben (Umarbeitung des urspr. Männersatzes
764,1988,Ach wie flüchtig  (Ewigkeitssonntag),Chorsatz,Frauen,Kopie,Für den Kirchenchor Wassermungenau geschrieben
765,1988,Psalm 130,Chorsatz,Frauen,Kopie,Für den Kirchenchor Wassermungenau geschrieben
766,1991,"O komm, du Geist der Wahrheit",Chorsatz,Frauen,Kopie,
767,1989,"Hör, hör, hör",Chorsatz,Frauen - gleiche Stimmen,Kopie,
768,1991,Sei willkommen Jesulein,Chorsatz,Frauen,Kopie,
769,1980,"Horch, wie der Schar…",Chorsatz,Frauen,Kopie,
770,1990,Christus ist geboren (aus Polen),Chorsatz,Frauen - gleiche Stimmen,Kopie,Für den Kirchenchor Wassermungenau am 23.11.1990 geschrieben
771,1989,Heut sein die lieben Engelein,Chorsatz,Frauen,Kopie,
772,,Zwischen Ochs und Eselein,Chorsatz,Frauen,Original,
773 - 776,,Ohne Inhalt,,,,
777,1994,Es kommt ein Schiff geladen,Chorsatz,Frauen,Original,
778,1992,O freudenreicher Tag,Chorsatz,Frauen,Original,
779,1993,Als ich bei meinen Schafen wacht…,Chorsatz,Frauen,Kopie,
780,1993,"Himmelsblume, schöner Stern",Chorsatz,Frauen,Original,
780a,1993,Kündet allen in der Not,Chorsatz,Frauen,Kopie,
781,1994,Wie soll ich dich empfangen,Chorsatz,Frauen,Original,
782,1992,An hellen Tagen,Chorsatz,Frauen,Original,
783,1992,Kommt ihr Gspielen,Chorsatz,Frauen,Original,
784,1992,"Nun laube, Lindlein, laube",Chorsatz,Frauen,Original,
785,1992,Herzlich tut mich erfreuen,Chorsatz,Frauen,Original,
786,1992,Wir lieben sehr im Herzen,Chorsatz,Frauen,Original,
787,1992,Lieblich hat sich gesellet,Chorsatz,Frauen,Original,
788,1992,Der Winter ist ein strenger Mann,Chorsatz,Frauen,Original,
789,1994,"Herr, wie du willst",Chorsatz,Frauen,Original,
790,1992,"Du meine Seele, singe",Chorsatz,Frauen,Original,
791,1988,Fürbittengebet zur Christnacht 00,Notensatz,"Orgel, Kantor, Gemeinde",Original,
792,1981,kyrie,Chorsatz,gem. Chor,Original,
793,1990,Jetzt gang i ans Brünnele,Chorsatz,gem. Chor,Original,
794,,Kein schöner Land,Chorsatz,Frauen,Original,
795,,Christus begleiten: vom Tod zur Auferstehung,Chorsatz,Frauen,Original,nach Taizè
796,1990,"Am Necker, am Necker",Chorsatz,Frauen,Original,
797,1990,O dass ich tausend Zungen hätte,Chorsatz,Frauen,Kopie,Umgeschrieben und leicht verbessert am 14.06.1990
798,1991,Du hast mir alle Schuld vergeben,Chorsatz,Frauen und Männer,Original,
799,1991,Geh betend in den Tag hinein,Chorsatz,Männer,Original,
800,1991,Gott setzt ein Liebeszeichen,Chorsatz,Männer,Original,
801,1989,Du bist bei mir,Chorsatz,Frauen und Männer?,Kopie,
802,1989,Kleine Messe,Chorsatz,gem. Chor,Kopie,
803,1997,Adventliches Intermezzo,Notensatz,Orgel und Trompete,Kopie,
804,1990,O Wunder,Notensatz,Orgel und Gemeinde/Chor?,Kopie,
805,,"Horch, wie die Schar…",Notensatz,Orgel,Original,Bleistift-Manuskript
