Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
345,,Str. 2 - Des ewgen Vaters einig Kind,Chorsatz,gem. Chor und Gemeinde,Kopie,
346,,Str. 3 - Den aller Weltkreis nie beschloss,Chorsatz,gem. Chor und Gemeinde,Kopie,
347,,Str. 4 - Gelobet seist du…,Chorsatz,gem. Chor und Gemeinde,Kopie,
348,,Str. 5 - Der Sohn des Vaters,Chorsatz,gem. Chor und Gemeinde,Kopie,
349,,Schmückt das Fest mit Maien,Orgelsatz,Orgel,Kopie,
350,,O Lebensbrünnlein tief und groß,Chorsatz,gem. Chor,Original,Bleistift
351,2001,Von Engeln  ward verheißen,Orgelsatz/Klaviersatz,Orgel/Klavier,Original,
352,1982,Evangelien-Motette zum Sonntag Cantate - Kommt her zu…,Chorsatz,Chor,Original,Herrn Dekan Meyer und Frau Marianne zugeignet - 01.05.1982
353,1998,Liebessuche,Chorsatz,Männer,Original,
354,1970,Tastenspiele 1,Klaviersatz,Klavier,Original,
355,,Es lagen im Felde…,Chorsatz,gem. Chor,Original,
356,1994,"O komm, O komm…",Chorsatz,gem. Chor,Original,
357,1999,Freut euch ihr Christen…,Chorsatz,Männer,Kopie,
358,,Freut euch ihr Christen…,Chorsatz,Frauen,Kopie,
359,1999,Freut euch ihr Christen…,Chorsatz,gem. Chor,Kopie,für den Kirchenchor Merkendorf
360,1993,Als ich bei meinem Schafen wacht,Chorsatz,gem. Chor,Original,
361,1993,Kündet allen in der Not,Chorsatz,gem. Chor,Original,
361a,1990,Wer unter Gottes Schirm,Chorsatz,gem. Chor,Kopie,
362,1982,Herzlich tut mich erfreuen,Chorsatz,gem. Chor,Original,Vesper-Hymnus am 03.07.1982 (Luth. Lit. Konferenz Heilsbronn)
363,1986,Auf Adlerflügeln getragen,Chorsatz,gem. Chor,Original,
364,,O Lebensbrünnlein tief und groß - Strophen 1 und 2,Chorsatz,gem. Chor,Kopie,
365,1994,So nimm denn meine Hände…,Chorsatz,gem. Chor,Original,
366,1998,O freudenreiches Osterfest,Chorsatz,Frauen,Kopie,
367,1998,Und wieder blühet die Linde,Chorsatz,gem. Chor, Original,
