Die Psalmen Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Reg. Nr.,Psalm Nr.,Verse,Titel,Besetzung,Datum,Handschrift,veröffentlicht,Bemerkung,
60,90,,"Herr Gott, Herr Gott…",Männer?,,x,,"""Cluster"", Original im Privatbesitz - Kathrin Vogt",
61,91,,Wer unter Gottes Schirm…,,1995,x,,Matthias Heubusch gewidmet,
62,91,"1, 4, 5, 9, 11, 152",Der Herr ist deine Zuversicht,Knabenchor,1987,x,,bearbeitet für den Knabenchor 12.01.1995,
63,92,1 - 9,"Herr, wie sind deine Werke…",Knabenchor,1974,x,Eigenverlag 1975/1978,"""Windsbacher Psalmen""",
64,92,"2, 6 - 9",Das ist ein köstlich Ding..,,,x,"Strube, Heft II","""Windsbacher Psalmen""",
65,92,,"Herr, wie sind deine Werke…",Männer,1972,x,,"""Windsbacher Psalmen""",
66,92,"2, 6, 7, 8, 9",Das ist ein köstlich Ding..,,1985,x,,,
67,92,,"Herr, wie sind deine Werke…",,,x,,,
68,92,,"Herr, wie sind deine Werke…",Knabenchor,1974,,,"""Windsbacher Psalmen""",
69,95,1 - 7,Kommt herzu…,Knabenchor,1973,x,Eigenverlag 1975/1978,"""Windsbacher Psalmen""",
70,95,,Kommt herzu…,Männer,1973,x,,"""Windsbacher Psalmen""",
71,96,1 - 9,Singet dem Herrn…,Knabenchor,1969,x,"Eigenverlag 1975/1978, Strube, Heft II","für den Wndsbacher Knabenchor, neu bearbeitet im Juli 1978, ""Windsbacher Psalmen""",
72,96,,Singet dem Herrn…,?,1969,x,schlechte Spirit-Carbon-Kopie,,
73,100,,Jauchzet dem Herrn…,Knabenchor,1994,x,,Nicolaj Beringer mit allen guten Wünschen…,
74,100,,Jauchzet dem Herrn…,Orgelstimme,1974,x,,,
75,100,,Jauchzet dem Herrn…,Männer?,1974,x,,,
76,102," 1 - 8, 13 - 18",Herr erhöre mein Gebet…,Männer,,,"Strube, Heft II","""Windsbacher Psalmen""",
77,102,,Herr erhöre mein Gebet…,Männer,,x,,,
78,103,1 - 13,Er stillt meine Sehnsucht,Männer,1973,x,Eigenverlag 1975/1978,,
79,103,"1 - 2, 19 - 22",Lobet den Herrn…,Knabenchor,1994,x,,Karl Friedrich Beringer un den Männern des Windsbacher Knabenchores zum Michaelisfest 1994,
80,103,"3, 8, 10 - 13, 17, 18","Lobet den Herrn, meine Seele",Knabenchor,1972,x,"Eigenverlag 1975/1978, Strube, Heft II",überarbeitet 1981,
81,103,,"Lobet den Herrn, meine Seele",Knabenchor,1972,x,,Meiner lieben Frau Brigitte gewidmet,
82,103,,Barmherzig und gnädig….,gem. Chor,1985,x,,"Den Ortenburger Sängerinnen und Sängern und Ihrer Leiterin Frau Pfasser-Wretschitsch zugeeignet, 21.05.1985",
83,103,1 - 13,Barmherzig und gnädig….,?,1985?,,,,
84,103,,Dem Herrn sei Lob…,für drei gleiche Stimmen,2000,x,,,
85,104,,Der dir alle deine Sünde…,Knabenchor,1992,x,,Zum Einzug ins neue Heim für Karl Friedrich Beringer,
86,104,,Der dir alle deine Sünde…,,1992,x,Bleistiftmanuskript,,
87,106,1,Danket dem Herrn,"Chor, Gemeinde",1990,x,,,
88,113,,Lobet alle den Herrn,,1973,x,Eigenverlag 1975/1978,,
89,113,1 - 9,Lobet den Herrn…,,1973,x,,,
90,118,,Ich will Wasser gießen…,Knabenchor,1999,x,,Pfingstpsalm,
91,118,,Ich will Wasser gießen…,Knabenchor,2000,x,,"Pfingstpsalm, ""Dem Knabenchor und seinem Leiter Karl-Friedrich Behringer anlässlich der Geburtstagschorandacht am 30. März von diesem gewidmet und überreicht",
92,119,10 - 17,Öffne mir die Augen,Knabenchor,1974,x,,Taufspruch Michel Krause,
93,119,,Öffne mir die Augen,Orgel?,1974,x,,,
94,123,,Barmherzig und gnädig….,,,,"Strube, Heft II","""Windsbacher Psalmen""",
95,123,,Unsere Hilfe steht im Namen…,Gemeinde und Orgel,,x,,evtl. Fehler in der Zuordnung,
96,126,1 - 6,Die Erlösten des Herrn…,Männer,1972,x,Eigenverlag 1975/1978,"""Windsbacher Psalmen""",
97,126,,Die Erlösten des Herrn…,Knabenchor,1972,x,,,
98,126,,Die Erlösten des Herrn…,Orgel?,1972,x,,Rückseite Psalm 119,
99,127,,Unsere Hilfe steht im Namen…,Knabenchor,1995,x,,Jubiläumspsalm des Windsbacher Knabenchors,
100,127,1,Wenn der Herr nicht das Haus baut,Orgel/Piano,1990,x,,Motette zur Trauung A + M Lichtenfeld am 16.04.1990,
101,127,,Unsere Hilfe steht im Namen…,?,1963,x,ganz schlechte Kopie,,
102,127,,Unsere Hilfe steht im Namen…,?,1996,x,,Für Fritz Kolmar,
103,130,,"Herr, erhöre meine Stimme",Männer,1971,x,Eigenverlag 1975/1978,"Windsbacher Knabenchor, überarbeitet 1982",
104,130,,"Herr, erhöre meine Stimme",Knabenchor,1971,x,,,
105,130,,"Herr, erhöre meine Stimme",?,1962,x,schlechte Kopie,eines der ersten Dokumente,
106,130,,"Herr, erhöre meine Stimme",einstimmig,1971,x,Spirit-Carbon-Kopie,"Zum Gedenken an Friedhelm Alhaus, tödlich verunglückt im Mai 1971",
107,130,,Aus der Tiefe rufe ich…,gem. Chor,,,Verlag?,,
109,136,,Danket dem Herren,,1964,x,,überarbeitet 1996,
110,138,,Herr von ganzem Herzen…,Männer,,,"Eigenverlag 1975/1978, Strube, Heft II",,
111,138,,Herr von ganzem Herzen…,Männer,1973,x,,,
112,138,,Herr von ganzem Herzen…,Knabenchor,1973,x,,"Beringer übergeben am 21.01.1998, Sebastian Roth mit allen guten Wünschen",
113,139,"1 - 4, 7 - 11","Herr, du erforschest mich…",,1985,x,,,
114,143,1 - 11,Ich breite meine Hände…,Knabenchor,1964,x,"Eigenverlag 1975/1978, Strube, Heft II","""Windsbacher Psalmen""","Psalmen"", 3. Auflage 1967, Der Drehbacher Kantorei und ihrem Leiter…"
115,143,,Ich breite meine Hände…,Orgel,1964,x,,,
116,145,,Gnädig und barmherzig…,gem. Chor,1971,x,,,
117,146,,Ich will den Herren loben,Männer,1964,x,,überarbeitet für den Frauenchor in Wassermungenau 1996,
118,146,,Ich will den Herren loben,Frauenchor,1964,x,,umgearbeitet 1996,
119,148,1 - 14,Lobet den Herren…,"Chor, Orgel",1970,x,"Strube, Heft II",,
120,148,1 - 14,Lobet den Herren…,"Orgel, Chor, Gemeinde",1970,x,,,
122,149,,"Halleluja, Halleluja…",Knabenchor,1964,x,"Eigenverlag 1975/1978, Strube, Heft II","""Windsbacher Psalmen""",
123,149,,"Halleluja, Halleluja…",Orgel,,x,,Orgel-Präludium,
124,150,,"Alles, was Odem hat…",,1992,x,,Norwegen,
129,4,,Erhöre mich,Männer,1969,x,,Psalmenexemplare aus Seminarzeiten,
130,"19, 8-15",,Die Befehle des Herrrn,Männer,1965,x,,Psalmenexemplare aus Seminarzeiten,
140,24,,Freue dich sehr…,"Gemeinde, Chor",1970,x,,Psalmenexemplare aus Seminarzeiten,
141,32,,Ich will dich unterweisen,Männer,1971,x,,Psalmenexemplare aus Seminarzeiten,
142,84,,"Herr, ich habe lieb…",Männer,1976,x,,Psalmenexemplare aus Seminarzeiten,
143,96,,Der Herr ist König allein,Männer,1974,x,,Psalmenexemplare aus Seminarzeiten,
144,103,,"Lobe den Herrn, meine Seele",Männer,1972,x,,Psalmenexemplare aus Seminarzeiten,
145,103,,Er stillt meine Sehnsucht,Männer,1973,x,,Psalmenexemplare aus Seminarzeiten,
146,113,,Lobet alle den Herrn,Männer,1978,x,,Psalmenexemplare aus Seminarzeiten,
147,130,,"Herr, erhöre meine Stimme",Männer,1971,x,,Psalmenexemplare aus Seminarzeiten,
148,134,,"Auf, ihr Knechte",Männer,,x,,Psalmenexemplare aus Seminarzeiten,
149,136,,Danket dem Herrn,Männer,1964,x,,Psalmenexemplare aus Seminarzeiten,
150,145,,Gnädig und barmherzig…,Männer,1971,x,,Psalmenexemplare aus Seminarzeiten,
151,149,,"Halleluja, Halleluja…",Männer,1964,x,,Psalmenexemplare aus Seminarzeiten,
152,149,,"Halleluja, Halleluja…",Männer,1964,x,,Psalmenexemplare aus Seminarzeiten,
153,19,,Die Himmel erzählen…,Frauenchor,1994,x,,für Frauenchor bearbeitet am 21.09.1994,
154,22,1 - 17,"Mein Gott, mein Gott",Gemeinde und Orgel,1987,x,,,
155,24,1 - 6,Die Erde ist des Herrn,gem. Chor,1967,x,,,
156,24,1 - 6,Die Erde ist des Herrn,gem. Chor,1996,x,,,
157,24,7 - 10,Machet die Tore weit…,"Gemeinde, Orgel",,x,,,
158,27,,Der Herr ist mein Licht,gem. Chor,1996,x,,,
159,,,leer,,,,,,
160,31,10 - 17,"Herr, sei mir gnädig","Orgel, Gemeinde, Chor",1998,x,,,
161,27,1 - 6,Harre des Herrn…,Frauenchor,1965/1996,x,,,
162,31,"1, 6, 8, 9, 20, 25",Sei mir ein starker Fels…,gem. Chor,1972,x,,,
163,42,,Wie der Hirsch lechzt,gem. Chor,1997,x,,,
164,57,,"Herr, höre mein Gebet…",gem. Chor,1994,x,,,
165,67,,Wie sich ein Vater…,gem. Chor,1983,x,,,
166,,,Gott sei nicht ferne von mir,Knabenchor,1971,x,,,
167,73,"1 - 4, 5, 7, 19, 28",Dennoch bleibe ich stets an Dir,gem. Chor,1985,x,,,
